Timestamp,Source,Title,Sentiment,Score
2026-02-27 14:40:42,r/Bitcoin,"Citi Is Making Bitcoin ""Bankable"" — Here's What That Means for the Market",NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Case Study: Safeguarding History and Aid in Ukraine,BULLISH,0.7852
2026-02-27 14:40:42,r/Bitcoin,"Descriptor annotations, ASMap, Q&amp;A - Bitcoin Optech Newsletter #394",BULLISH,0.8159
2026-02-27 14:40:42,r/Bitcoin,Bought $1k  of BTC. Let's see what will happen,BEARISH,-0.2244
2026-02-27 14:40:42,r/Bitcoin,With what exchange/trading platform do you have a good experience if you're in Europe in the recent years ?,BULLISH,0.346
2026-02-27 14:40:42,r/Bitcoin,total supply cap,BEARISH,-0.296
2026-02-27 14:40:42,r/Bitcoin,Can I buy Bitcoin for 1000 rupees? (Hindi Language Article),BULLISH,0.05
2026-02-27 14:40:42,r/Bitcoin,leverage ratio is 0.213,BULLISH,1.0
2026-02-27 14:40:42,r/Bitcoin,"Daily Discussion, February 27, 2026",BULLISH,0.9272
2026-02-27 14:40:42,r/Bitcoin,"Justin Sun at LONGITUDE HK recalls buying $BTC at $0.20 when no one took it seriously. Now he says crypto is being built as payment rails for AGI. ""Even the Terminator would need blockchain to transact.""",BEARISH,-0.3904
2026-02-27 14:40:42,r/Bitcoin,Layerz Wallet - All Bitcoin layers one simple wallet,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Just bigger wallets,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,Literature,BULLISH,1.0
2026-02-27 14:40:42,r/Bitcoin,"Accidental fortune - young entrepreneur becomes overnight millionaire from early 2000s investment. Question: How many other self-made billionaires are out there that ""don't even know""?",BULLISH,0.8196
2026-02-27 14:40:42,r/Bitcoin,stack sats and save on the blockchain,BULLISH,0.8172
2026-02-27 14:40:42,r/Bitcoin,Soy virgen del bitcoin,NEUTRAL,0.0
2026-02-27 14:40:42,r/Bitcoin,"I made a simple DCA calculator, hope it's useful for someone",BULLISH,0.9095
2026-02-27 14:40:42,r/Bitcoin,5 Websites You Should Definitely Check Out,BULLISH,0.4019
2026-02-27 14:40:42,r/Bitcoin,Own 5 BTC? Here's how you get 1+ BTC this cycle for free (there's risk),BULLISH,0.8311
2026-02-27 14:40:42,r/Bitcoin,"If Your 1099-DA still hasn't shown up, here's a few things to consider.",BULLISH,0.8783
2026-02-27 14:40:42,r/Bitcoin,Bitcoin.com app MoonPay Purchases Declined,NEUTRAL,-0.028
2026-02-27 14:40:42,r/Bitcoin,Decided to buy $BTC instead of a Rolex.,BULLISH,0.05
2026-02-27 14:40:42,r/Bitcoin,How can I btc anonymously without KYC or anything?,BULLISH,0.4404
2026-02-27 14:40:42,r/Bitcoin,"I backtested ""taking a loan to buy Bitcoin"" vs DCA across every month since 2016. Here's what 10 years of data shows.",BULLISH,0.6782
2026-02-27 14:40:42,r/Bitcoin,Commercializing Bitcoin and delivering it to the institutional world and mainstream,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,Axiom Exchange Insider Trading Scandal Exposed,BEARISH,-0.4939
2026-02-27 14:40:42,r/CryptoCurrency,Ripple Exec Declares 'Extremely Bullish' Outlook on Turkey's Crypto Adoption,BULLISH,0.05
2026-02-27 14:40:42,r/CryptoCurrency,"Elizabeth Warren, OCC Chief Spar Over Trump-Linked Crypto Bank Bid",NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,"The Axiom Insider Trading Scandal: New on-chain data shows wallets ""knew"" about the ZachXBT exposé before it dropped",BULLISH,0.8781
2026-02-27 14:40:42,r/CryptoCurrency,"The Lobstar Wilde $450K loss wasn't a ""decimal error."" It was a memory failure that affects every AI agent with a wallet.",BEARISH,-1.0
2026-02-27 14:40:42,r/CryptoCurrency,ZachXBT Exposes Alleged Insider Data Abuse at Axiom Exchange,BEARISH,-0.6908
2026-02-27 14:40:42,r/CryptoCurrency,Bitcoin’s 100 BTC club edges toward 20K wallets in a ‘bullish sign’,BULLISH,0.05
2026-02-27 14:40:42,r/CryptoCurrency,Fictional 2028 AI memo imagines mass layoffs and stablecoin adoption,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,MetaMask and Mastercard Officially Launch Crypto Card in the United States,BULLISH,0.4215
2026-02-27 14:40:42,r/CryptoCurrency,"Daily Crypto Discussion - February 27, 2026 (GMT+0)",BULLISH,0.9039
2026-02-27 14:40:42,r/CryptoCurrency,Crypto Is Pointless. Not Even the White House Can Fix That.,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,Benchmark analysts cheer Strategy's pivot to STRC as ‘primary engine’ for bitcoin accumulation,BULLISH,0.5106
2026-02-27 14:40:42,r/CryptoCurrency,I Was Told That There Was No More Jane Street,BEARISH,-0.296
2026-02-27 14:40:42,r/CryptoCurrency,2026 US Midterms Emerge as Potential Turning Point for Crypto Markets,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,Avoiding landmines is the real edge. What’s your non-negotiable checklist?,BEARISH,-0.63
2026-02-27 14:40:42,r/CryptoCurrency,"Massachusetts sues Bitcoin Depot, alleging the crypto ATM operator knowingly facilitated crypto scams",BEARISH,-0.6359
2026-02-27 14:40:42,r/CryptoCurrency,"Even in 2012, people were asking if it's too late to invest in Bitcoin",NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,"MetaMask Card Launched in the US, Upto 3% Cashback, ATM Withdrawals. How to Get?",BULLISH,0.7579
2026-02-27 14:40:42,r/CryptoCurrency,Updated Ethereum (Strawman) Roadmap of potential Ethereum updates from 2026-2030+,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoCurrency,Indiana Approves Bitcoin Investments in Public Retirement Plans,BULLISH,0.4019
2026-02-27 14:40:42,r/CryptoCurrency,Florida crypto firm CEO arrested in $328 million Ponzi scheme,BULLISH,0.9775
2026-02-27 14:40:42,r/CryptoCurrency,Everyone Has A Crypto Scam Except You,BULLISH,0.7003
2026-02-27 14:40:42,r/CryptoCurrency,"Exactly 2 years ago, former Daily Show host Trevor Noah admitted: ""Not buying bitcoin was the biggest mistake of my life""",BEARISH,-0.2
2026-02-27 14:40:42,r/CryptoCurrency,India moved on Jane Street before Terraform’s crypto lawsuit,BEARISH,-0.2263
2026-02-27 14:40:42,r/CryptoCurrency,Grvt integrates Aave so traders can earn yield on perp collateral,NEUTRAL,0.0
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Friday, February 27, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Thursday, February 26, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Wednesday, February 25, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Tuesday, February 24, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,What would you do if someone gave you 100 BTC?,BEARISH,-0.4871
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Monday, February 23, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Sunday, February 22, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Saturday, February 21, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Friday, February 20, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Thursday, February 19, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Wednesday, February 18, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Tuesday, February 17, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Monday, February 16, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Sunday, February 15, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Saturday, February 14, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Friday, February 13, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Thursday, February 12, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Wednesday, February 11, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Tuesday, February 10, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Monday, February 09, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Sunday, February 08, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Saturday, February 07, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Friday, February 06, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Thursday, February 05, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/BitcoinMarkets,"[Daily Discussion] - Wednesday, February 04, 2026",BULLISH,0.9464
2026-02-27 14:40:42,r/CryptoMarkets,"Citi Is Making Bitcoin ""Bankable"" — Here's What That Means for the Market",NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoMarkets,Technical vs fundamental analysis,BULLISH,0.6582
2026-02-27 14:40:42,r/CryptoMarkets,Axiom Exchange Insider Trading Scandal Exposed,BEARISH,-0.4939
2026-02-27 14:40:42,r/CryptoMarkets,solana technical analysis,BULLISH,0.6219
2026-02-27 14:40:42,r/CryptoMarkets,Lessons Learned from Crypto Trading &amp; Freelancing Losses,BULLISH,0.4767
2026-02-27 14:40:42,r/CryptoMarkets,"I built a trading arena for AI agents to daytrade crypto coins 24/7, purely off realtime, raw financial data. And gpt 5 nano is somehow good with money",BULLISH,1.0
2026-02-27 14:40:42,r/CryptoMarkets,MiCA regulations are nonsense,BULLISH,0.6369
2026-02-27 14:40:42,r/CryptoMarkets,"Institutions Are Loading XRP, But Traders Are Deleveraging, What’s Really Happening?",BULLISH,0.9723
2026-02-27 14:40:42,r/CryptoMarkets,Awesome Prediction Markets (Curated Tools),BULLISH,0.6249
2026-02-27 14:40:42,r/CryptoMarkets,Does anyone know anything about alt coins? Trying to learn that a little,BULLISH,0.9311
2026-02-27 14:40:42,r/CryptoMarkets,Tether-backed crypto payments app Oobit unlocks global bank transfers,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoMarkets,Jane Street's SLV Power Grab: Record Stake Sparks Silver Manipulation Fears,BEARISH,-0.6624
2026-02-27 14:40:42,r/CryptoMarkets,Has anyone here been profitable with the same strategy for over a year?,BULLISH,0.4404
2026-02-27 14:40:42,r/CryptoMarkets,"So, what's next for XRP?",BULLISH,0.9641
2026-02-27 14:40:42,r/CryptoMarkets,How to Trade Crypto Options from Europe?,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoMarkets,"Daily Crypto Discussion - February 26, 2026",BEARISH,-0.2411
2026-02-27 14:40:42,r/CryptoMarkets,Bitcoin Depot Mandates Crypto ATM ID Checks for All U.S. Transactions,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoMarkets,Epstein Emails Point to Planned Crypto Talks With Gary Gensler,NEUTRAL,0.0
2026-02-27 14:40:42,r/CryptoMarkets,Ha senso giocare su ETH/BTC per accumulare più valute?,BULLISH,0.7941
2026-02-27 14:40:42,r/CryptoMarkets,These are the marks of a successful trader,BULLISH,0.5859
2026-02-27 14:40:42,r/CryptoMarkets,FY ending soon… sitting on crypto losses. does selling even help under Indian tax rules?,BEARISH,-0.8931
2026-02-27 14:40:42,r/CryptoMarkets,AI news crashed tech stocks and crypto this week. feels like everything is now one trade,BEARISH,-0.4612
2026-02-27 14:40:42,r/CryptoMarkets,You tube share,BULLISH,0.296
2026-02-27 14:40:42,r/CryptoMarkets,15-tab DYOR workflow,BULLISH,0.8802
2026-02-27 14:40:42,r/CryptoMarkets,Jane St allegedly manipulated crypto markets for years,BEARISH,-0.8913

SUMMARY
Bullish,64,64.0%
Bearish,18,18.0%
Neutral,18,18.0%
Overall,BULLISH,0.3976
